name,threads,cps,abort_insert_ps,abort_scan_ps,abort_rate,threads,tag
"OpenBw+PLI",1,3294559.2,0,0,0,0,"threads"
"OpenBw+PLI",1,3936991.2,0,0,0,0,"threads"
"OpenBw+PLI",1,4012668.6,0,0,0,0,"threads"
"OpenBw+PLI",2,7889842.4,0,0,0,0,"threads"
"OpenBw+PLI",2,7236236.800000001,0,0,0,0,"threads"
"OpenBw+PLI",2,7884885,0,0,0,0,"threads"
"OpenBw+PLI",3,11130485.6,0,0,0,0,"threads"
"OpenBw+PLI",3,11878988,0,0,0,0,"threads"
"OpenBw+PLI",3,11897932.200000001,0,0,0,0,"threads"
"OpenBw+PLI",4,15807608.4,0,0,0,0,"threads"
"OpenBw+PLI",4,15671734.4,0,0,0,0,"threads"
"OpenBw+PLI",4,15931642,0,0,0,0,"threads"
"OpenBw+PLI",8,30806420.200000003,0,0,0,0,"threads"
"OpenBw+PLI",8,31051147.400000002,0,0,0,0,"threads"
"OpenBw+PLI",8,31120896.6,0,0,0,0,"threads"
"OpenBw+PLI",16,59760273.54529094,0,0,0,0,"threads"
"OpenBw+PLI",16,59984010.400000006,0,0,0,0,"threads"
"OpenBw+PLI",16,59819376.400000006,0,0,0,0,"threads"
"OpenBw+PLI",32,96998824.23515296,0,0,0,0,"threads"
"OpenBw+PLI",32,92346940.41191761,0,0,0,0,"threads"
"OpenBw+PLI",32,97641485.70285943,0,0,0,0,"threads"
"OpenBw+PLI",48,147930382.6469412,0,0,0,0,"threads"
"OpenBw+PLI",48,145835669.73210716,0,0,0,0,"threads"
"OpenBw+PLI",48,146070041.39172164,0,0,0,0,"threads"
"OpenBw+PLI",64,201126644.14234307,0,0,0,0,"threads"
"OpenBw+PLI",64,178633868.0527789,0,0,0,0,"threads"
"OpenBw+PLI",64,190891857.82843432,0,0,0,0,"threads"
"OpenBw+PLI",72,221691547.18112755,0,0,0,0,"threads"
"OpenBw+PLI",72,199837240.90363854,0,0,0,0,"threads"
"OpenBw+PLI",72,185873634.89208633,0,0,0,0,"threads"
"OpenBw+PLI",80,245666442.4230308,0,0,0,0,"threads"
"OpenBw+PLI",80,193272586.56537384,0,0,0,0,"threads"
"OpenBw+PLI",80,197999340.46381447,0,0,0,0,"threads"
"OpenBwTree",1,1435500.4000000001,0,0,0,0,"threads"
"OpenBwTree",1,1469653.6,0,0,0,0,"threads"
"OpenBwTree",1,1471653.4000000001,0,0,0,0,"threads"
"OpenBwTree",2,2879607.4,0,0,0,0,"threads"
"OpenBwTree",2,2841106.2,0,0,0,0,"threads"
"OpenBwTree",2,2870707.4,0,0,0,0,"threads"
"OpenBwTree",3,4182247.2,0,0,0,0,"threads"
"OpenBwTree",3,4244141.8,0,0,0,0,"threads"
"OpenBwTree",3,4225688.8,0,0,0,0,"threads"
"OpenBwTree",4,5441183,0,0,0,0,"threads"
"OpenBwTree",4,5584129.8,0,0,0,0,"threads"
"OpenBwTree",4,5669232.4,0,0,0,0,"threads"
"OpenBwTree",8,10319316,0,0,0,0,"threads"
"OpenBwTree",8,11072862.4,0,0,0,0,"threads"
"OpenBwTree",8,11010226,0,0,0,0,"threads"
"OpenBwTree",16,20655056,0,0,0,0,"threads"
"OpenBwTree",16,20381464.507098578,0,0,0,0,"threads"
"OpenBwTree",16,20710765.2,0,0,0,0,"threads"
"OpenBwTree",32,34622477.30453909,0,0,0,0,"threads"
"OpenBwTree",32,34327287.5424915,0,0,0,0,"threads"
"OpenBwTree",32,34335393.72125575,0,0,0,0,"threads"
"OpenBwTree",48,50301856.42871425,0,0,0,0,"threads"
"OpenBwTree",48,50107066.186762646,0,0,0,0,"threads"
"OpenBwTree",48,51107453.50929814,0,0,0,0,"threads"
"OpenBwTree",64,60546889.26644014,0,0,0,0,"threads"
"OpenBwTree",64,63367377.04918033,0,0,0,0,"threads"
"OpenBwTree",64,59525460.0159936,0,0,0,0,"threads"
"OpenBwTree",72,69154601.55937625,0,0,0,0,"threads"
"OpenBwTree",72,70278487.60495801,0,0,0,0,"threads"
"OpenBwTree",72,76801877.04918033,0,0,0,0,"threads"
"OpenBwTree",80,68261915.65060963,0,0,0,0,"threads"
"OpenBwTree",80,72523167.33306678,0,0,0,0,"threads"
"OpenBwTree",80,68380318.00919448,0,0,0,0,"threads"
