name,threads,cps,aps,scan,tag
PLI,10,100,0,100,threads
PLI,20,200,0,100,threads
PLI,30,400,0,100,threads
PLI,40,800,0,100,threads
PLI,50,1000,0,100,threads
PLI,10,100,0,0,scan
PLI,10,200,0,20,scan
PLI,10,400,0,40,scan
PLI,10,800,0,60,scan
PLI,10,800,0,80,scan
PLI,10,1000,0,100,scan
OpenBwTree,10,332,0,100,threads
OpenBwTree,20,324,0,100,threads
OpenBwTree,30,545,0,100,threads
OpenBwTree,40,654,0,100,threads
OpenBwTree,50,800,0,100,threads
OpenBwTree,10,100,0,20,scan
OpenBwTree,10,200,0,40,scan
OpenBwTree,10,400,0,60,scan
OpenBwTree,10,800,0,80,scan
OpenBwTree,10,800,0,100,scan
